"filename", "language", "JavaScript", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\User\Desktop\SAP\frontend\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 33, 71
"c:\Users\User\Desktop\SAP\frontend\package-lock.json", "JSON", 0, 0, 0, 16700, 0, 0, 1, 16701
"c:\Users\User\Desktop\SAP\frontend\package.json", "JSON", 0, 0, 0, 48, 0, 0, 1, 49
"c:\Users\User\Desktop\SAP\frontend\public\index.html", "HTML", 0, 0, 0, 0, 21, 0, 3, 24
"c:\Users\User\Desktop\SAP\frontend\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\User\Desktop\SAP\frontend\src\App.js", "JavaScript", 45, 0, 0, 0, 0, 0, 4, 49
"c:\Users\User\Desktop\SAP\frontend\src\actions\cartActions.js", "JavaScript", 24, 0, 0, 0, 0, 0, 2, 26
"c:\Users\User\Desktop\SAP\frontend\src\actions\newsActions.js", "JavaScript", 32, 0, 0, 0, 0, 0, 5, 37
"c:\Users\User\Desktop\SAP\frontend\src\actions\productAction.js", "JavaScript", 132, 0, 0, 0, 0, 0, 14, 146
"c:\Users\User\Desktop\SAP\frontend\src\actions\userActions.js", "JavaScript", 173, 0, 0, 0, 0, 0, 35, 208
"c:\Users\User\Desktop\SAP\frontend\src\bootstrap.min.css", "CSS", 0, 2, 0, 0, 0, 10, 0, 12
"c:\Users\User\Desktop\SAP\frontend\src\components\Footer.js", "JavaScript", 49, 0, 0, 0, 0, 0, 9, 58
"c:\Users\User\Desktop\SAP\frontend\src\components\FormContainer.js", "JavaScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\User\Desktop\SAP\frontend\src\components\Header.js", "JavaScript", 39, 0, 0, 0, 0, 0, 12, 51
"c:\Users\User\Desktop\SAP\frontend\src\components\HomeCarousel.js", "JavaScript", 52, 0, 0, 0, 0, 0, 10, 62
"c:\Users\User\Desktop\SAP\frontend\src\components\Loader.js", "JavaScript", 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\User\Desktop\SAP\frontend\src\components\Message.js", "JavaScript", 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\User\Desktop\SAP\frontend\src\components\News.js", "JavaScript", 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\User\Desktop\SAP\frontend\src\components\Product.js", "JavaScript", 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\User\Desktop\SAP\frontend\src\components\Rating.js", "JavaScript", 73, 0, 0, 0, 0, 0, 4, 77
"c:\Users\User\Desktop\SAP\frontend\src\constants\cartConstants.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\SAP\frontend\src\constants\newsConstants.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\User\Desktop\SAP\frontend\src\constants\productsConstants.js", "JavaScript", 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\User\Desktop\SAP\frontend\src\constants\userConstants.js", "JavaScript", 24, 0, 0, 0, 0, 0, 9, 33
"c:\Users\User\Desktop\SAP\frontend\src\index.css", "CSS", 0, 284, 0, 0, 0, 1, 5, 290
"c:\Users\User\Desktop\SAP\frontend\src\index.js", "JavaScript", 15, 0, 0, 0, 0, 3, 3, 21
"c:\Users\User\Desktop\SAP\frontend\src\news.js", "JavaScript", 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\User\Desktop\SAP\frontend\src\reducers\cartReducers.js", "JavaScript", 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\User\Desktop\SAP\frontend\src\reducers\newsReducers.js", "JavaScript", 25, 0, 0, 0, 0, 0, 2, 27
"c:\Users\User\Desktop\SAP\frontend\src\reducers\productReducers.js", "JavaScript", 83, 0, 0, 0, 0, 0, 3, 86
"c:\Users\User\Desktop\SAP\frontend\src\reducers\userReducers.js", "JavaScript", 93, 0, 0, 0, 0, 0, 7, 100
